date5,m_consumerd
2019-09-27,226.44467967411256
2019-09-30,229.9366286385734
2019-10-01,229.56371698739395
2019-10-02,224.88933699086027
2019-10-03,224.88565855206184
2019-10-04,228.0889889339231
2019-10-07,226.30849196775904
2019-10-08,225.1860875813466
2019-10-09,225.76462016915374
2019-10-10,226.27545784104547
2019-10-11,227.63765526717563
2019-10-14,228.33894447110734
2019-10-15,230.30698830226683
2019-10-16,231.76297713225742
2019-10-17,233.67012649212242
2019-10-18,235.85053828077497
2019-10-21,234.86367681791197
2019-10-22,233.00086016025185
2019-10-23,232.07992751643343
2019-10-24,233.60328536663414
2019-10-25,233.6979375155467
2019-10-28,232.39855819378258
2019-10-29,230.96774847102614
2019-10-30,231.63885279421535
2019-10-31,231.12715250591063
2019-11-01,232.01760483687778
2019-11-04,226.88615098089542
2019-11-05,226.82734292408205
2019-11-06,229.35737365146852
2019-11-07,224.38846403697752
2019-11-08,224.70400737366586
2019-11-11,228.52796166797853
2019-11-12,227.6786250978146
2019-11-13,227.5087214685836
2019-11-14,229.5090786915905
2019-11-15,227.9384430129573
2019-11-18,229.80129242843051
2019-11-19,228.9325971063578
2019-11-20,227.91146700337248
2019-11-21,228.28104774007258
2019-11-22,229.495089755868
2019-11-25,231.6023747516128
2019-11-26,234.48946915932422
2019-11-27,235.42192377234406
2019-11-29,234.38561640145645
2019-12-02,233.12341111561037
2019-12-03,230.65091247378655
2019-12-04,233.45995374895492
2019-12-05,234.94555931271248
2019-12-06,235.10420154175668
2019-12-09,235.13744441518244
2019-12-10,236.63749164005495
2019-12-11,237.95557923586864
2019-12-12,237.4427759062569
2019-12-13,238.59628384068327
2019-12-16,240.26988558499318
2019-12-17,240.0688699326425
2019-12-18,238.2139247138545
2019-12-19,238.07177311519408
2019-12-20,241.46069138005095
2019-12-23,239.9817024986699
2019-12-24,241.1168985186883
2019-12-26,241.6462996140966
2019-12-27,241.6655761970664
2019-12-30,240.80893644296899
2019-12-31,240.8520369799632
2020-01-02,240.87904653009377
2020-01-03,241.00398184218497
2020-01-06,240.0200622756526
2020-01-07,240.13889059030785
2020-01-08,240.1627556962787
2020-01-09,240.20923625298266
2020-01-10,240.45005296311288
2020-01-13,241.38390566268058
2020-01-14,241.95265287723183
2020-01-15,243.47949916911574
2020-01-16,243.83792896090813
2020-01-17,245.02154932381973
2020-01-21,243.17261647278409
2020-01-22,243.8909744676554
2020-01-23,246.13448284257134
2020-01-24,242.71867758373045
2020-01-27,238.94743277891627
2020-01-28,241.72697297582087
2020-01-29,238.72352681070004
2020-01-30,239.11163300388264
2020-01-31,233.05105470261483
2020-02-03,233.5170584534699
2020-02-04,235.39186634207672
2020-02-05,238.77363178864965
2020-02-06,239.30062246322632
2020-02-07,237.87622391502813
2020-02-10,238.8892360903182
2020-02-11,240.6212004805511
2020-02-12,243.00140321479654
2020-02-13,243.94026211972508
2020-02-14,244.22191654961065
2020-02-18,243.83808557042536
2020-02-19,244.2228849878851
2020-02-20,247.38423517515074
2020-02-21,244.7413067817688
2020-02-24,237.0984562298037
2020-02-25,229.49887858696704
2020-02-26,226.61064338684082
2020-02-27,219.7287143761257
2020-02-28,218.7869330802054
2020-03-02,223.78316824391203
2020-03-03,220.87207658335848
2020-03-04,229.14149110722093
2020-03-05,220.52082887685523
2020-03-06,217.98645671808495
2020-03-09,206.73542857619952
2020-03-10,214.6365692390586
2020-03-11,198.7678665125145
2020-03-12,176.10547278062353
2020-03-13,182.8546919552785
2020-03-16,153.87950204453378
2020-03-17,155.558250193326
2020-03-18,144.75344404184594
2020-03-19,155.84724230136513
2020-03-20,144.55741015020408
2020-03-23,141.70554089096356
2020-03-24,162.5388789896695
2020-03-25,172.75410023275413
2020-03-26,177.52775036613897
2020-03-27,169.54450128663262
2020-03-30,168.99555964739818
2020-03-31,164.8959394221036
2020-04-01,155.4119139752298
2020-04-02,154.76291649746446
2020-04-03,152.04381616610402
2020-04-06,170.2109567984095
2020-04-07,172.92026639434528
2020-04-08,180.70581249920826
2020-04-09,184.08559324156562
2020-04-13,179.65493035766315
2020-04-14,186.380859375
2020-04-15,180.78391774195546
2020-04-16,181.41291961130105
2020-04-17,189.33484002779116
2020-04-20,185.04189034228054
2020-04-21,180.44690518109303
2020-04-22,185.48714169916116
2020-04-23,183.97547762348967
2020-04-24,188.47468638869952
2020-04-27,194.32490161679826
2020-04-28,198.7467082221553
2020-04-29,203.34468920725698
2020-04-30,198.0167585318943
2020-05-01,193.39288334576588
2020-05-04,193.92828066843862
2020-05-05,195.04952425326942
2020-05-06,194.11709110691862
2020-05-07,194.7940677067019
2020-05-08,200.56142195215764
2020-05-11,198.4176663722632
2020-05-12,192.40468547029315
