date3,m_infotech
2019-09-20,111.73738583522056
2019-09-23,112.03127811204142
2019-09-24,110.46683611798642
2019-09-25,111.81399224409417
2019-09-26,112.04346628331426
2019-09-27,109.78726105191815
2019-09-30,110.80115117599715
2019-10-01,109.29862268647152
2019-10-02,107.58473841823749
2019-10-03,108.96686867101869
2019-10-04,110.8741736767897
2019-10-07,110.29441390820404
2019-10-08,107.82871560908076
2019-10-09,109.23461939683601
2019-10-10,109.67991929979466
2019-10-11,111.25159516975062
2019-10-14,111.2531466697579
2019-10-15,112.59745220639813
2019-10-16,110.86463353171277
2019-10-17,111.09075482211895
2019-10-18,109.8015413995999
2019-10-21,110.73495753843393
2019-10-22,108.477065798062
2019-10-23,108.67572966618324
2019-10-24,111.07135419703242
2019-10-25,111.7685583883257
2019-10-28,112.86715545938976
2019-10-29,112.74555997706172
2019-10-30,113.32459177899716
2019-10-31,112.59035601544736
2019-11-01,114.19870190122235
2019-11-04,114.5531920532682
