date1,m_industrial
2020-03-11,101.76690864562988
2020-03-12,91.27142634656694
2020-03-13,97.90325232346852
2020-03-16,86.1108689043257
2020-03-17,90.04027851422627
2020-03-18,83.53514768017664
2020-03-19,82.39745948121355
2020-03-20,78.12849529369457
2020-03-23,75.1339003975327
2020-03-24,83.73515580151532
2020-03-25,87.7295179882565
2020-03-26,93.80673059257302
2020-03-27,89.82356949110289
2020-03-30,91.47984665793342
2020-03-31,90.02624755292325
2020-04-01,85.55852116765203
2020-04-02,87.00359698888418
2020-04-03,85.55445113053193
2020-04-06,91.76941040399912
2020-04-07,91.96067897693531
2020-04-08,95.35873864148114
2020-04-09,97.09602787687972
2020-04-13,94.17182337271201
2020-04-14,96.37541803153786
2020-04-15,93.71049785614014
2020-04-16,93.21669721603394
2020-04-17,97.57651133150668
2020-04-20,94.8645991892428
2020-04-21,92.38631872228675
2020-04-22,93.87439837326875
2020-04-23,94.24434585829039
2020-04-24,95.16964962675765
2020-04-27,97.70196829615412
2020-04-28,99.70387652113631
2020-04-29,102.01993153546307
2020-04-30,99.84153479498787
2020-05-01,97.0255715782578
2020-05-04,96.23709578127475
2020-05-05,96.80457385810647
2020-05-06,95.6626397725698
2020-05-07,96.74519578830616
2020-05-08,99.43133215002112
2020-05-11,98.51315185186026
2020-05-12,95.54941313975566
2020-05-13,93.14506637727892
2020-05-14,94.51278645283467
2020-05-15,94.57933862789257
2020-05-18,100.20394997983365
2020-05-19,98.87056882961376
2020-05-20,100.41671245162551
2020-05-21,100.5830675202447
2020-05-22,100.49754919876924
2020-05-26,104.64794820063823
2020-05-27,107.99929688427899
2020-05-28,107.24872992489789
2020-05-29,106.97326928216057
2020-06-01,107.25733089447021
2020-06-02,108.62623383547809
2020-06-03,112.41010458404953
2020-06-04,113.1541431401227
2020-06-05,116.86745398753398
2020-06-08,118.65129280090332
2020-06-09,116.0201187133789
2020-06-10,113.64851972219107
2020-06-11,106.12357460485923
2020-06-12,107.70979542345614
2020-06-15,108.69109515886049
2020-06-16,110.81581160828874
2020-06-17,110.23568358292451
2020-06-18,109.83526447656992
2020-06-19,108.75277744757163
2020-06-22,109.05676844313338
2020-06-23,108.86641749820194
2020-06-24,105.08154079076407
2020-06-25,106.22396661139824
2020-06-26,104.7507121885145
2020-06-29,107.67611854140823
2020-06-30,108.75601272325258
2020-07-01,108.17105913162231
2020-07-02,109.1313742946934
2020-07-06,110.30288683401572
2020-07-07,108.34361624073338
2020-07-08,108.19722298029306
2020-07-09,106.15093915526931
2020-07-10,107.4305958361239
2020-07-13,107.60937773214805
2020-07-14,109.85189454619949
2020-07-15,112.42203956036954
2020-07-16,112.42433807012198
2020-07-17,113.11417118278709
2020-07-20,112.11877191388929
2020-07-21,113.50989877855456
2020-07-22,114.45704948579943
2020-07-23,114.35329446277103
2020-07-24,113.41353435774107
2020-07-27,113.92272115398097
2020-07-28,113.03819646062078
2020-07-29,115.04292971379049
2020-07-30,114.16041312346587
2020-07-31,113.94509770419147
2020-08-03,114.66060370367927
2020-08-04,114.94475939467146
2020-08-05,116.92804078798036
2020-08-06,117.0620396201675
2020-08-07,118.78097947868142
2020-08-10,120.99313537494557
2020-08-11,121.71194548220248
2020-08-12,122.3108079111254
2020-08-13,121.71207625157125
2020-08-14,122.1210778468364
2020-08-17,121.80250465547716
2020-08-18,121.2852409208143
2020-08-19,120.97127481409021
2020-08-20,120.45387306728878
2020-08-21,120.76109865549448
2020-08-24,122.57309873684032
2020-08-25,122.37894203856185
2020-08-26,122.62794539735124
2020-08-27,123.14978234832351
2020-08-28,124.1582721761755
2020-08-31,123.02860653078234
2020-09-01,124.25751773731129
2020-09-02,126.09422928578145
2020-09-03,122.45786443916526
2020-09-04,122.39761237840395
2020-09-08,120.24823182337992
2020-09-09,122.43104526158926
2020-09-10,120.63033776669889
2020-09-11,122.24339684924564
2020-09-14,123.70146663768871
2020-09-15,123.97539895289653
2020-09-16,124.83535595197935
2020-09-17,124.85350499282012
2020-09-18,123.29726679260666
2020-09-21,119.37386333620226
2020-09-22,120.87655531393516
2020-09-23,118.61780419220796
2020-09-24,118.89918077314222
